City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather,Hotel Name
0,0,Road Town,VG,18.4167,-64.6167,87.89,79,75,11.5,broken clouds,"ZINGARA 76ft Catamaran, full crew-all included"
2,2,Itarema,BR,-2.9248,-39.9167,86.95,56,6,18.68,clear sky,"Sea Lounge! Bar, Club & Restaurant"
4,4,Dwarka,IN,22.2394,68.9678,83.19,68,75,11.59,broken clouds,Hotel Narayan Avezika Comfort
7,7,Sur,OM,22.5667,59.5289,86.7,53,0,4.74,clear sky,Sur Plaza Hotel
10,10,Karratha,AU,-20.7377,116.8463,76.75,57,10,15.9,clear sky,ibis Styles Karratha
12,12,Natal,BR,-5.795,-35.2094,86.65,62,75,12.66,broken clouds,Villa Park Hotel | Natal
16,16,Kirakira,SB,-10.4544,161.9205,78.1,86,100,6.62,overcast clouds,SanBiz Lodge
20,20,Ugoofaaru,MV,5.6667,73.0,81.64,77,93,18.75,overcast clouds,Ungoofaaru Inn
22,22,Trairi,BR,-3.2778,-39.2689,87.17,52,48,16.37,scattered clouds,janelas do mar
24,24,Cockburn Town,TC,21.4612,-71.1419,82.89,73,99,10.54,overcast clouds,Osprey Beach Hotel
29,29,Butaritari,KI,3.0707,172.7902,81.27,79,10,15.08,light rain,Isles Sunset Lodge
31,31,Unai,BR,-16.3575,-46.9061,87.19,41,98,6.98,overcast clouds,Hotel Regente
39,39,Salalah,OM,17.0151,54.0924,82.49,78,40,11.5,scattered clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
40,40,Bubaque,GW,11.2833,-15.8333,82.04,68,19,5.55,few clouds,"Casa Dora, Bubaque"
46,46,Victoria,HK,22.2855,114.1577,85.17,78,21,11.01,few clouds,Mini Central
49,49,Georgetown,MY,5.4112,100.3354,82.33,87,40,3.44,thunderstorm with light rain,Cititel Penang
55,55,Tambopata,PE,-12.7333,-69.1833,76.89,88,20,4.61,few clouds,Enashawa Lodge
56,56,Mitsamiouli,KM,-11.3847,43.2844,78.39,68,27,5.12,scattered clouds,Foyer ADM
59,59,Ponta Do Sol,PT,32.6667,-17.1,79.72,68,29,2.26,scattered clouds,Hotel do Campo
60,60,Lata,PT,40.1629,-8.3327,86.07,23,100,1.21,overcast clouds,Casa Maquia
61,61,Hirara,JP,24.8,125.2833,82.04,73,85,15.7,overcast clouds,Hotel Atoll Emerald Miyakojima
62,62,Hilo,US,19.7297,-155.09,79.29,94,100,4.61,overcast clouds,Hilo Hawaiian Hotel
64,64,Prado,BR,-17.3411,-39.2208,80.2,63,96,8.34,overcast clouds,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
66,66,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,40,14.97,scattered clouds,Pousada Porto Praia
67,67,Fare,PF,-16.7,-151.0167,77.49,75,5,26.19,clear sky,Maitai Lapita Village Huahine
72,72,Mugumu,TZ,-1.85,34.7,80.44,31,96,5.84,overcast clouds,Lemala Mara
76,76,Port Blair,IN,11.6667,92.75,81.45,77,100,7.72,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
82,82,Boffa,GN,10.1667,-14.0333,89.51,68,35,3.94,light rain,Hôtel Niara Belly
84,84,Sao Filipe,CV,14.8961,-24.4956,80.62,80,13,12.48,few clouds,Hotel Xaguate
85,85,Cabedelo,BR,-6.9811,-34.8339,84.87,72,25,11.25,scattered clouds,Pousada Camboinha
87,87,Ambon,ID,-3.6954,128.1814,78.94,89,20,8.05,few clouds,Swiss-Belhotel Ambon
88,88,Maragogi,BR,-9.0122,-35.2225,82.26,66,35,9.28,scattered clouds,Salinas do Maragogi All Inclusive Resort
94,94,Mount Isa,AU,-20.7333,139.5,82.17,51,100,0.0,light rain,ibis Styles Mt Isa Verona
95,95,Malanje,AO,-9.5402,16.341,84.25,40,96,6.04,overcast clouds,Hotel Ginga
98,98,General Salgado,BR,-20.6483,-50.3606,87.37,42,48,13.09,scattered clouds,TUTU HOTEL
107,107,Argostolion,GR,38.1811,20.489,77.07,41,20,10.36,few clouds,Princess Hotel
109,109,Kupang,ID,-10.1667,123.5833,81.1,78,98,12.55,overcast clouds,Hotel On The Rock by Prasanthi
114,114,Beira,MZ,-19.8436,34.8389,84.29,70,20,17.27,few clouds,Beira Terrace Hotel
116,116,Marsh Harbour,BS,26.5412,-77.0636,78.64,65,9,13.53,clear sky,Abaco Beach Resort
117,117,Babol,IR,36.5513,52.679,78.87,73,0,0.0,clear sky,Reza Hotel
120,120,Vilhena,BR,-12.7406,-60.1458,78.93,66,95,3.83,overcast clouds,Hotel Mirage
121,121,Aracati,BR,-4.5617,-37.7697,89.22,46,36,15.41,scattered clouds,Hostel Pousada Ibiza
124,124,Bacolod,PH,10.6667,122.95,79.86,84,97,7.47,overcast clouds,Planta Hotel & Residences
126,126,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,79,100,11.14,overcast clouds,Pousada Porto De Canoas
131,131,Colares,PT,38.7992,-9.4469,80.26,73,0,5.99,clear sky,Arribas Sintra Hotel
132,132,Kavieng,PG,-2.5744,150.7967,82.51,77,100,14.81,light rain,Nusa Island Retreat
135,135,Labuhan,ID,-6.8844,112.2051,81.34,78,100,4.92,overcast clouds,DoubleFAG
139,139,Nileshwar,IN,12.25,75.1,79.02,82,100,9.08,overcast clouds,Neeleshwar Hermitage
140,140,Cabo San Lucas,MX,22.8909,-109.9124,81.52,63,0,6.91,clear sky,Hotel Tesoro Los Cabos
142,142,Kahului,US,20.8947,-156.47,77.02,78,75,6.91,broken clouds,Maui Seaside Hotel
143,143,Vila Velha,BR,-20.3297,-40.2925,78.75,78,100,6.91,overcast clouds,Hotel Vitória Palace
144,144,Bambanglipuro,ID,-7.95,110.2833,77.36,88,100,9.17,light rain,Puri Brata
148,148,Meulaboh,ID,4.1363,96.1285,77.02,86,100,1.63,moderate rain,Kost Pria
149,149,Hithadhoo,MV,-0.6,73.0833,81.99,76,4,20.38,heavy intensity rain,Scoop Guest House
154,154,Isiolo,KE,0.3546,37.5822,86.29,32,100,17.09,overcast clouds,Gaddisa Hotel
157,157,Samarai,PG,-10.6167,150.6667,80.74,84,64,10.42,broken clouds,Nuli Sapi
162,162,Bandarbeyla,SO,9.4942,50.8122,80.29,73,97,25.95,overcast clouds,JABIR HOTEL
173,173,Sibu,MY,2.3,111.8167,77.31,100,40,0.0,scattered clouds,RH HOTEL (4 Star)
176,176,Belmonte,BR,-15.8631,-38.8828,79.09,71,100,5.14,overcast clouds,Pousada Monte Carmelo O Pão
180,180,Camajuani,CU,22.4833,-79.75,77.14,83,40,2.3,scattered clouds,Hostal Villuendas 75
183,183,Guiratinga,BR,-16.3494,-53.7583,88.21,44,9,7.94,clear sky,Hotel Angra do Cerrado - Guiratinga MT
186,186,Chhuikhadan,IN,21.5333,80.9833,77.09,85,99,9.13,heavy intensity rain,PWD Rest House
187,187,Moroni,KM,-11.7022,43.2551,76.87,76,89,4.32,overcast clouds,Hotel Les Arcades
189,189,Santa Cruz,BO,-17.8,-63.1667,82.45,69,75,12.66,broken clouds,Aviador Hotel Boutique
194,194,The Valley,AI,18.217,-63.0578,86.83,74,40,14.97,scattered clouds,CeBlue Villas & Beach Resort
198,198,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,79,83,10.04,broken clouds,Pestana Bahia Praia
201,201,Salinopolis,BR,-0.6136,-47.3561,84.52,66,94,15.73,overcast clouds,Salinas Park Resort Maçarico AP101
204,204,Laibin,CN,23.7,109.2667,83.73,60,98,3.44,overcast clouds,GreenTree Alliance Laibin Railway Station Hotel
205,205,Asadabad,IR,34.7824,48.1185,82.35,10,0,1.32,clear sky,کامپیوتر صادق
207,207,Ajdabiya,LY,30.7554,20.2263,81.68,36,0,11.74,clear sky,منزلة الحاج سالم خليفة العيساويه الزواوي
212,212,Tevaitoa,PF,-16.7833,-151.5,77.65,75,0,26.22,clear sky,Hôtel Raiatea Lodge
216,216,Eyl,SO,7.9803,49.8164,83.91,64,55,21.56,broken clouds,EYL AQUE SYSTEM
225,225,Ortona,IT,42.3496,14.4039,77.18,50,100,6.04,overcast clouds,La Casa del Palombaro
226,226,Gboko,NG,7.3179,8.9951,79.79,75,100,1.95,light rain,Mavillah Apartment and Suites
228,228,Nabire,ID,-3.3667,135.4833,76.73,91,100,5.84,overcast clouds,Hotel Nusantara I
231,231,Pundaguitan,PH,6.3711,126.1689,83.8,71,26,7.96,scattered clouds,Leonardo Family Beach House 1
237,237,Zhongshan,CN,21.3226,110.5829,80.1,82,7,13.73,clear sky,Jianmin Restaurant
243,243,Tautira,PF,-17.7333,-149.15,76.5,74,94,22.35,overcast clouds,Pension Oaoa
247,247,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,19.57,scattered clouds,Atlantis Hotel
249,249,Gohad,IN,26.4261,78.4447,76.95,85,86,12.35,overcast clouds,Shree Dauji Nasta Center
250,250,Port-Gentil,GA,-0.7193,8.7815,85.96,66,75,18.41,broken clouds,Fengshui Residence
