City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
0,Road Town,VG,18.4167,-64.6167,87.89,79,75,11.5,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,69.17,68,95,22.19,overcast clouds
2,Itarema,BR,-2.9248,-39.9167,86.95,56,6,18.68,clear sky
3,Port Alfred,ZA,-33.5906,26.891,67.17,71,100,5.99,overcast clouds
4,Dwarka,IN,22.2394,68.9678,83.19,68,75,11.59,broken clouds
5,Yelan,RU,50.949,43.7378,53.55,56,100,11.9,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,43.48,89,59,3.89,broken clouds
7,Sur,OM,22.5667,59.5289,86.7,53,0,4.74,clear sky
8,Broome,US,42.2506,-75.833,57.36,86,0,4.61,clear sky
9,Polyarnyy,RU,69.1989,33.4478,48.09,82,100,28.3,overcast clouds
10,Karratha,AU,-20.7377,116.8463,76.75,57,10,15.9,clear sky
11,Vaini,TO,-21.2,-175.2,71.76,100,20,3.44,few clouds
12,Natal,BR,-5.795,-35.2094,86.65,62,75,12.66,broken clouds
13,Busselton,AU,-33.65,115.3333,51.12,80,100,6.91,overcast clouds
14,Atuona,PF,-9.8,-139.0333,75.29,81,88,20.51,light rain
15,Grootfontein,NA,-19.5667,18.1167,95.04,8,0,9.46,clear sky
16,Kirakira,SB,-10.4544,161.9205,78.1,86,100,6.62,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,11.59,79,100,6.08,overcast clouds
18,Lompoc,US,34.6391,-120.4579,60.78,98,100,4.61,fog
19,Deputatskiy,RU,69.3,139.9,8.2,93,37,8.28,scattered clouds
20,Ugoofaaru,MV,5.6667,73.0,81.64,77,93,18.75,overcast clouds
21,Guerrero Negro,MX,27.9769,-114.0611,67.19,90,0,7.14,clear sky
22,Trairi,BR,-3.2778,-39.2689,87.17,52,48,16.37,scattered clouds
23,Hobart,AU,-42.8794,147.3294,55.26,90,75,13.8,broken clouds
24,Cockburn Town,TC,21.4612,-71.1419,82.89,73,99,10.54,overcast clouds
25,Qaqortoq,GL,60.7167,-46.0333,33.73,74,5,4.16,clear sky
26,Ushuaia,AR,-54.8,-68.3,42.46,61,20,5.75,few clouds
27,Codrington,AU,-38.2667,141.9667,53.24,94,100,5.32,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,12.66,clear sky
29,Butaritari,KI,3.0707,172.7902,81.27,79,10,15.08,light rain
30,Tuktoyaktuk,CA,69.4541,-133.0374,32.29,96,100,11.16,overcast clouds
31,Unai,BR,-16.3575,-46.9061,87.19,41,98,6.98,overcast clouds
32,Innisfail,AU,-17.5333,146.0333,74.5,84,68,7.05,broken clouds
33,Dikson,RU,73.5069,80.5464,32.63,86,100,22.75,overcast clouds
34,Coos Bay,US,43.3665,-124.2179,54.99,100,100,4.61,mist
35,Eureka,US,40.8021,-124.1637,55.2,85,82,1.01,broken clouds
36,Tasiilaq,GL,65.6145,-37.6368,37.56,65,86,4.45,overcast clouds
37,Namibe,AO,-15.1961,12.1522,71.1,68,83,9.89,broken clouds
38,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,40,12.66,scattered clouds
39,Salalah,OM,17.0151,54.0924,82.49,78,40,11.5,scattered clouds
40,Bubaque,GW,11.2833,-15.8333,82.04,68,19,5.55,few clouds
41,Bluff,NZ,-46.6,168.3333,43.81,66,27,10.96,scattered clouds
42,Semenivka,UA,52.1783,32.5818,61.32,61,5,10.6,clear sky
43,Jamestown,US,42.097,-79.2353,58.71,63,100,5.75,overcast clouds
44,Yellowknife,CA,62.456,-114.3525,45.12,81,75,10.36,broken clouds
45,Grand Gaube,MU,-20.0064,57.6608,74.37,62,3,5.99,clear sky
46,Victoria,HK,22.2855,114.1577,85.17,78,21,11.01,few clouds
47,Pangnirtung,CA,66.1451,-65.7125,29.7,94,100,1.63,light snow
48,Airai,TL,-8.9266,125.4092,62.91,91,99,2.48,overcast clouds
49,Georgetown,MY,5.4112,100.3354,82.33,87,40,3.44,thunderstorm with light rain
50,Upernavik,GL,72.7868,-56.1549,21.79,84,100,8.1,overcast clouds
51,Derzhavinsk,KZ,51.1,66.3167,59.27,20,79,7.83,broken clouds
52,Barrow,US,71.2906,-156.7887,35.62,80,100,21.85,light rain
53,Sitka,US,57.0531,-135.33,55.29,94,100,4.61,overcast clouds
54,Port Elizabeth,ZA,-33.918,25.5701,70.11,59,100,18.45,overcast clouds
55,Tambopata,PE,-12.7333,-69.1833,76.89,88,20,4.61,few clouds
56,Mitsamiouli,KM,-11.3847,43.2844,78.39,68,27,5.12,scattered clouds
57,Pisco,PE,-13.7,-76.2167,59.05,88,100,5.75,mist
58,Batemans Bay,AU,-35.7167,150.1833,60.1,96,96,4.7,overcast clouds
59,Ponta Do Sol,PT,32.6667,-17.1,79.72,68,29,2.26,scattered clouds
60,Lata,PT,40.1629,-8.3327,86.07,23,100,1.21,overcast clouds
61,Hirara,JP,24.8,125.2833,82.04,73,85,15.7,overcast clouds
62,Hilo,US,19.7297,-155.09,79.29,94,100,4.61,overcast clouds
63,Shizunai,JP,42.3339,142.3669,46.9,69,98,9.31,overcast clouds
64,Prado,BR,-17.3411,-39.2208,80.2,63,96,8.34,overcast clouds
65,North Adams,US,42.7009,-73.1087,63.21,70,100,0.0,overcast clouds
66,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,40,14.97,scattered clouds
67,Fare,PF,-16.7,-151.0167,77.49,75,5,26.19,clear sky
68,Lebu,CL,-37.6167,-73.65,50.94,96,100,12.88,overcast clouds
69,Carnarvon,AU,-24.8667,113.6333,65.66,60,6,27.89,clear sky
